"Data","Cidade","Bairro","Status","Tempo(s)","Tokens","Custo(BRL)"
"2026-05-26T18:05:57.587Z","Fortaleza","Aldeota","done","261","205013","1.29"
"2026-05-13T00:53:12.146Z","Niterói","Camboinhas","done","571","927658","4.37"
"2026-05-13T00:36:02.591Z","Niterói","Camboinhas","done","900","954662","4.32"
"2026-05-13T00:23:56.453Z","Niterói","Camboinhas","done","584","964541","4.45"
"2026-05-13T00:11:42.198Z","Niterói","Itaipu","done","532","1081362","4.79"
"2026-05-12T22:27:01.900Z","Niterói","Piratininga","done","560","715108","3.77"
"2026-05-12T18:37:45.847Z","Niteroi","Itaipu","done","557","878865","4.45"
"2026-05-12T18:04:35.334Z","Niterói","Itaipu","done","421","574371","3.04"
"2026-05-12T16:40:11.101Z","Niterói","Itaipu","done","267","481763","2.53"
"2026-05-12T15:04:16.280Z","Itajai","Centro","done","381","455539","2.5"
"2026-05-12T14:29:23.113Z","Blumenau","Velha","done","384","493570","2.64"
"2026-05-12T14:21:38.279Z","Joinville","America","done","319","385222","2.22"
"2026-05-12T13:17:57.606Z","Florianopolis","Centro","done","367","347342","2.17"
"2026-05-12T11:34:13.848Z","Curitiba","Batel","done","308","",""
"2026-05-12T11:29:22.458Z","Curitiba","Batel","done","178","",""
"2026-05-12T00:44:34.835Z","","","done","228","",""
"2026-05-12T00:09:01.094Z","Brasília","ADE Águas Claras - Setor Habitacional Arniqueira","done","213","",""
"2026-05-12T00:04:07.576Z","Curitiba","Batel","done","273","",""
